year	dayofyear	site_name	snowcover	species_plant	cover_all_flowers
2012	171	ho5	15	Achillea atrata	0
2012	176	ho5	10	Achillea atrata	0,01
2012	179	ho5	5	Achillea atrata	0,01
2012	183	ho5	1	Achillea atrata	0,01
2012	187	ho5	0	Achillea atrata	0,01
2012	192	ho5	0	Achillea atrata	0,01
2012	196	ho5	0	Achillea atrata	0,01
2012	199	ho5	0	Achillea atrata	0,01
2012	205	ho5	0	Achillea atrata	0,01
2012	209	ho5	0	Achillea atrata	0,01
2012	213	ho5	0	Achillea atrata	0,01
2012	217	ho5	0	Achillea atrata	0,01
2012	222	ho5	0	Achillea atrata	0,01
2012	226	ho5	0	Achillea atrata	0
2012	232	ho5	0	Achillea atrata	0
2012	238	ho5	0	Achillea atrata	0
2012	243	ho5	0	Achillea atrata	0
2012	246	ho5	0	Achillea atrata	0
2012	255	ho5	0	Achillea atrata	0
2012	179	wma4	0	Achillea atrata	0,01
2012	184	wma4	0	Achillea atrata	0,01
2012	190	wma4	0	Achillea atrata	0,01
2012	194	wma4	0	Achillea atrata	0,02
2012	199	wma4	0	Achillea atrata	0,02
2012	207	wma4	0	Achillea atrata	0,02
2012	209	wma4	0	Achillea atrata	0,02
2012	215	wma4	0	Achillea atrata	0
2012	218	wma4	0	Achillea atrata	0
2012	223	wma4	0	Achillea atrata	0
2012	227	wma4	0	Achillea atrata	0
2012	232	wma4	0	Achillea atrata	0
2012	239	wma4	0	Achillea atrata	0
2012	243	wma4	0	Achillea atrata	0
2012	249	wma4	0	Achillea atrata	0
2012	255	wma4	0	Achillea atrata	0
2012	155	wma5	0	Achillea atrata	0
2012	159	wma5	0	Achillea atrata	0
2012	163	wma5	0	Achillea atrata	0
2012	167	wma5	0	Achillea atrata	0
2012	170	wma5	0	Achillea atrata	0
2012	176	wma5	0	Achillea atrata	0
2012	179	wma5	0	Achillea atrata	0,01
2012	184	wma5	0	Achillea atrata	0,01
2012	190	wma5	0	Achillea atrata	0,01
2012	194	wma5	0	Achillea atrata	0,01
2012	199	wma5	0	Achillea atrata	0,01
2012	201	wma5	0	Achillea atrata	0,01
2012	207	wma5	0	Achillea atrata	0,1
2012	209	wma5	0	Achillea atrata	0,06
2012	215	wma5	0	Achillea atrata	0
2012	218	wma5	0	Achillea atrata	0
2012	223	wma5	0	Achillea atrata	0
2012	227	wma5	0	Achillea atrata	0
2012	232	wma5	0	Achillea atrata	0
2012	239	wma5	0	Achillea atrata	0
2012	243	wma5	0	Achillea atrata	0
2012	249	wma5	0	Achillea atrata	0
2012	255	wma5	0	Achillea atrata	0
2012	188	h6	0	Achillea atrata	0,01
2012	193	h6	0	Achillea atrata	0,01
2012	197	h6	0	Achillea atrata	0,02
2012	200	h6	0	Achillea atrata	0,02
2012	206	h6	0	Achillea atrata	0,01
2012	210	h6	0	Achillea atrata	0,01
2012	214	h6	0	Achillea atrata	0
2012	218	h6	0	Achillea atrata	0
2012	222	h6	0	Achillea atrata	0
2012	226	h6	0	Achillea atrata	0
2012	232	h6	0	Achillea atrata	0
2012	237	h6	0	Achillea atrata	0
2012	241	h6	0	Achillea atrata	0
2012	246	h6	0	Achillea atrata	0
2012	255	h6	0	Achillea atrata	0
2010	176	ho5	0	Achillea atrata	0,02
2010	178	h6	0	Achillea atrata	0
2010	178	h7	0	Achillea atrata	0
2010	179	wma5	0	Achillea atrata	0,02
2010	179	wmb4	0	Achillea atrata	0
2010	188	ho5	0	Achillea atrata	0,02
2010	190	wma5	0	Achillea atrata	0,02
2010	190	wmb4	0	Achillea atrata	0,02
2010	191	h6	0	Achillea atrata	0,02
2010	191	h7	0	Achillea atrata	0,02
2010	193	ho4	0	Achillea atrata	0,02
2010	193	ho5	0	Achillea atrata	0,02
2010	196	h6	0	Achillea atrata	0,02
2010	196	h7	0	Achillea atrata	0,02
2010	197	wma4	0	Achillea atrata	0,02
2010	197	wma5	0	Achillea atrata	0,03
2010	197	wmb4	0	Achillea atrata	0,02
2010	202	h6	0	Achillea atrata	0,02
2010	202	h7	0	Achillea atrata	0
2010	203	wma5	0	Achillea atrata	0,03
2010	203	wmb4	0	Achillea atrata	0,02
2010	212	h6	0	Achillea atrata	0,02
2010	212	h7	0	Achillea atrata	0,02
2010	214	ho4	0	Achillea atrata	0,02
2010	214	ho5	0	Achillea atrata	0,02
2010	214	wma5	0	Achillea atrata	0,02
2010	232	ho4	0	Achillea atrata	0,02
2010	232	ho5	0	Achillea atrata	0,02
2010	233	wma5	0	Achillea atrata	0,02
2010	234	h6	0	Achillea atrata	0,02
2010	234	h7	0	Achillea atrata	0,02
2010	239	h6	0	Achillea atrata	0
2010	239	h7	0	Achillea atrata	0
2010	245	ho4	0	Achillea atrata	0
2010	245	ho5	0	Achillea atrata	0
2010	238	wma5	0	Achillea atrata	0
2011	145	h6	0	Achillea atrata	0
2011	156	h6	0	Achillea atrata	0
2011	172	h6	0	Achillea atrata	0
2011	179	h6	0	Achillea atrata	0
2011	187	h6	0	Achillea atrata	0,02
2011	194	h6	0	Achillea atrata	0,04
2011	212	h6	0	Achillea atrata	0,02
2011	224	h6	0	Achillea atrata	0,01
2011	233	h6	0	Achillea atrata	0
2011	145	h7	0	Achillea atrata	0
2011	156	h7	0	Achillea atrata	0
2011	172	h7	0	Achillea atrata	0
2011	179	h7	0	Achillea atrata	0
2011	187	h7	0	Achillea atrata	0
2011	194	h7	0	Achillea atrata	0
2011	212	h7	0	Achillea atrata	0,02
2011	224	h7	0	Achillea atrata	0,2
2011	233	h7	0	Achillea atrata	0,1
2011	155	ho5	0	Achillea atrata	0,01
2011	173	ho5	0	Achillea atrata	0,01
2011	180	ho5	0	Achillea atrata	0,02
2011	188	ho5	0	Achillea atrata	0,05
2011	198	ho5	0	Achillea atrata	0,04
2011	228	ho5	0	Achillea atrata	0
2011	234	ho5	0	Achillea atrata	0
2011	166	wma4	0	Achillea atrata	0
2011	178	wma4	0	Achillea atrata	0
2011	185	wma4	0	Achillea atrata	0,02
2011	193	wma4	0	Achillea atrata	0,02
2011	223	wma4	0	Achillea atrata	0
2011	144	wma5	0	Achillea atrata	0
2011	150	wma5	0	Achillea atrata	0
2011	158	wma5	0	Achillea atrata	0
2011	166	wma5	0	Achillea atrata	0
2011	178	wma5	0	Achillea atrata	0,03
2011	185	wma5	0	Achillea atrata	0,03
2011	193	wma5	0	Achillea atrata	0,03
2011	208	wma5	0	Achillea atrata	0,01
2011	223	wma5	0	Achillea atrata	0,01
2011	232	wma5	0	Achillea atrata	0
2012	176	ho4	0	Achillea clavennae	0
2012	179	ho4	0	Achillea clavennae	0,01
2012	183	ho4	0	Achillea clavennae	0,02
2012	187	ho4	0	Achillea clavennae	0,02
2012	192	ho4	0	Achillea clavennae	0,02
2012	196	ho4	0	Achillea clavennae	0,02
2012	199	ho4	0	Achillea clavennae	0,02
2012	205	ho4	0	Achillea clavennae	0,02
2012	209	ho4	0	Achillea clavennae	0,02
2012	213	ho4	0	Achillea clavennae	0,01
2012	217	ho4	0	Achillea clavennae	0,01
2012	222	ho4	0	Achillea clavennae	0,01
2012	226	ho4	0	Achillea clavennae	0
2012	232	ho4	0	Achillea clavennae	0
2012	237	ho4	0	Achillea clavennae	0
2012	243	ho4	0	Achillea clavennae	0
2012	246	ho4	0	Achillea clavennae	0
2012	255	ho4	0	Achillea clavennae	0
2012	209	ho5	0	Achillea clavennae	0
2012	213	ho5	0	Achillea clavennae	0
2012	217	ho5	0	Achillea clavennae	0,01
2012	222	ho5	0	Achillea clavennae	0,01
2012	226	ho5	0	Achillea clavennae	0,01
2012	232	ho5	0	Achillea clavennae	0,01
2012	238	ho5	0	Achillea clavennae	0,01
2012	243	ho5	0	Achillea clavennae	0
2012	246	ho5	0	Achillea clavennae	0
2012	255	ho5	0	Achillea clavennae	0
2012	199	wma5	0	Achillea clavennae	0,01
2012	201	wma5	0	Achillea clavennae	0,01
2012	207	wma5	0	Achillea clavennae	0,01
2012	209	wma5	0	Achillea clavennae	0,01
2012	215	wma5	0	Achillea clavennae	0,01
2012	218	wma5	0	Achillea clavennae	0,01
2012	223	wma5	0	Achillea clavennae	0,01
2012	227	wma5	0	Achillea clavennae	0,01
2012	232	wma5	0	Achillea clavennae	0
2012	239	wma5	0	Achillea clavennae	0
2012	243	wma5	0	Achillea clavennae	0
2012	249	wma5	0	Achillea clavennae	0
2012	255	wma5	0	Achillea clavennae	0
2012	140	wmb5	70	Achillea clavennae	0
2012	146	wmb5	15	Achillea clavennae	0
2012	155	wmb5	1	Achillea clavennae	0
2012	159	wmb5	0	Achillea clavennae	0
2012	163	wmb5	0	Achillea clavennae	0
2012	167	wmb5	0	Achillea clavennae	0
2012	170	wmb5	0	Achillea clavennae	0
2012	176	wmb5	0	Achillea clavennae	0
2012	179	wmb5	0	Achillea clavennae	0,01
2012	184	wmb5	0	Achillea clavennae	0,01
2012	190	wmb5	0	Achillea clavennae	0,02
2012	194	wmb5	0	Achillea clavennae	0,03
2012	199	wmb5	0	Achillea clavennae	0,03
2012	201	wmb5	0	Achillea clavennae	0,03
2012	207	wmb5	0	Achillea clavennae	0,03
2012	209	wmb5	0	Achillea clavennae	0,03
2012	215	wmb5	0	Achillea clavennae	0,02
